Word,Frequency
ṭhitā,18
rattiṃ,18
santikā,18
laddhaṃ,18
ānetvā,18
vatthu,18
veḷuvane,18
parivārena,18
aññesaṃ,18
uppatitvā,18
samuṭṭhāpesuṃ,18
asakkontā,18
yasaṃ,18
yassa,18
chinditvā,18
aññatarasmiṃ,18
rakkhituṃ,18
seṭṭhino,17
yojetvā,17
āgacchati,17
nagarā,17
disvāva,17
nāsakkhi,17
evarūpe,17
saddaṃ,17
natthī’’ti,17
dosaṃ,17
jāto’’ti,17
sāmikaṃ,17
labhi,17
purisaṃ,17
anukkamena,17
nīharitvā,17
sāpi,17
himavantaṃ,17
dhammena,17
antare,17
samāpattiyo,17
pesetvā,17
jane,17
ādayo,17
samayena,17
abhayaṃ,17
dukkhā,17
pati,17
core,17
pothetvā,17
hatthī,17
garahitvā,17
itthī,17
pahari,17
vipāko,17
bhagavato,16
sattā,16
cattāri,16
maggaṃ,16
vicarati,16
gacchanti,16
atthī’’ti,16
evañca,16
pāpetvā,16
hatthato,16
dvepi,16
abhisambuddho,16
dīpeti,16
kulaputto,16
uggaṇhitvā,16
kammaṭṭhānaṃ,16
laddhuṃ,16
patiṭṭhāsi,16
ce,16
vicaranto,16
itaro,16
dethā’’ti,16
jīvitaṃ,16
sve,16
dārake,16
idheva,16
ajānanto,16
taṅkhaṇaññeva,16
dāpesi,16
ahampi,16
amaccā,16
purisa,16
mahārājā’’ti,16
sattamā,16
mige,16
etesaṃ,16
hotīti,16
nāmena,16
gīvaṃ,16
seyyo,16
ārabhi,16
māretvā,16
kena,16
balikammaṃ,16
dvidhā,16
nipphattiṃ,16
brāhmaṇī,16
vipākoti,16
ayuttaṃ,15
kāsiraṭṭhe,15
anupubbena,15
udakena,15
adisvā,15
āgatā,15
ayyā’’ti,15
ekampi,15
tāni,15
vikkiṇitvā,15
yasmā,15
ṭhānesu,15
paṭhamā,15
sarīre,15
tameva,15
dutiyā,15
paresaṃ,15
gaṇhathā’’ti,15
hatthena,15
evameva,15
tatiyā,15
dhītā,15
antarāmagge,15
gahetuṃ,15
abbhantare,15
sāyanhasamaye,15
rathaṃ,15
catutthā,15
pañcamā,15
saraṃ,15
khādati,15
pupphāni,15
kusalaṃ,15
evarūpā,15
karohī’’ti,15
chaṭṭhā,15
raññā,15
aṭṭhamā,15
uppajji,15
navamā,15
dasamā,15
tassuddānaṃ,15
sati,15
āruyha,15
dinnaṃ,15
maraṇaṃ,15
vasaṃ,15
sattāhaṃ,15
vadhāya,15
yato,15
karothā’’ti,15
visaṃ,15
akataññū,15
itonidānampi,15
vissajjetvā,14
saraṇaṃ,14
desesi,14
ovaditvā,14
tasmiṃyeva,14
khādissāmī’’ti,14
teneva,14
ativiya,14
nikkhamma,14
āhāraṃ,14
bhavitabbaṃ,14
pabbajito,14
patiṭṭhahi,14
sakkhissāmi,14
sāsanaṃ,14
passa,14
āmantesi,14
ācikkhi,14
accayena,14
ṭhitaṃ,14
cīvaraṃ,14
khādituṃ,14
kevalaṃ,14
sāmiko,14
mātu,14
caranto,14
tāpasaṃ,14
yañca,14
pabbajjaṃ,14
bahi,14
bhikkhuniyo,14
ubho,14
svāhaṃ,14
khādanti,14
paribbayaṃ,14
sāriputta,14
jīvitapariyosāne,14
takkasilāyaṃ,14
bhariyaṃ,14
purohito,14
dassāmi,14
kāko,14
atthassa,14
dassanti,14
pūjetvā,13
dha,13
patiṭṭhāpetvā,13
imesaṃ,13
bhavantarena,13
bālo,13
saddhiṃyeva,13
sabbeva,13
goṇe,13
aṭṭhaṃsu,13
dassesi,13
vadanti,13
nipajjāpetvā,13
sīlāni,13
gaṇhiṃsu,13
alabhitvā,13
matthake,13
sammāsambuddho,13
gaṇhatha,13
parivattetvā,13
sahassaṃ,13
sante,13
cirasseva,13
niccaṃ,13
āṇāpesi,13
sīlesu,13
nivāsetvā,13
sīho,13
detha,13
kuṭumbiko,13
pitaraṃ,13
devadhamme,13
paṇḍitānaṃ,13
pāpaṃ,13
kumāro,13
nivesanaṃ,13
tañca,13
āgacchanto,13
tatrāyaṃ,13
devanagaraṃ,13
dvāraṃ,13
macchā,13
caramāno,13
rasataṇhāya,13
kathayiṃsu,13
carati,13
passāmi,13
pasāretvā,13
sītaṃ,13
disāpāmokkho,13
parivāretvā,13
vissajjesi,13
bodhisattena,13
aggahesi,13
saññāya,13
palāyiṃsu,13
upaṭṭhānaṃ,13
tasseva,13
brāhmaṇā,13
olokesi,13
sāyaṃ,13
dhutto,13
sappo,13
cārikaṃ,12
bhagavā’’ti,12
tathāgato,12
pa,12
mahāvināsaṃ,12
ne,12
gacchathā’’ti,12
mocetvā,12
bheriṃ,12
khippaṃ,12
kassaci,12
eso,12
abhiññā,12
samannāgato,12
yāciṃsu,12
lābhaṃ,12
yāvatāyukaṃ,12
viharati,12
mahājanassa,12
parikkhayaṃ,12
bhatiṃ,12
jānanti,12
piḷandhanaṃ,12
duggatā,12
pavisituṃ,12
kahāpaṇe,12
yena,12
dasabalassa,12
ācikkhitvā,12
upāsaka,12
cito,12
dhammasabhaṃ,12
sampaṭicchi,12
uppanne,12
gaṇhitvā,12
vaḍḍhetvā,12
vijāyi,12
rukkhamūle,12
catasso,12
khaggaṃ,12
nhāpetvā,12
hirī,12
ottappaṃ,12
okāsaṃ,12
itthiṃ,12
aññassa,12
ovāde,12
amacce,12
paraṃ,12
dvinnaṃ,12
janapadaṃ,12
baddho,12
pātetvā,12
mahājanaṃ,12
gāmake,12
kathentā,12
kujjhitvā,12
labhanti,12
vattati,12
paṇṇaṃ,12
asso,12
āgatosī’’ti,12
gāmaṃ,12
uppannaṃ,12
amacco,12
sayampi,12
upāsako,12
kule,12
pamāṇaṃ,12
jānissāmī’’ti,12
seṭṭhiṃ,12
sakkomi,12
rajje,12
koṭṭhāse,12
māṇava,12
paṇṇasālaṃ,12
paccantaṃ,12
nhāyitvā,12
caṇḍo,12
anāthapiṇḍiko,11
cha,11
anāthapiṇḍikassa,11
denti,11
a,11
pe,11
ve,11
pattā,11
tuṇhī,11
etamatthaṃ,11
karissanti,11
maññe’’ti,11
addhā,11
sandhāya,11
sāvatthivāsī,11
arahatte,11
tañhi,11
bhikkhūhi,11
yācitvā,11
udapādi,11
sacāhaṃ,11
bhavituṃ,11
ekissā,11
