Word,Frequency
devamanussānaṃ,2
buddho,2
hatthiyānāni,2
ārohaṇīyaṃ,2
nāgaṃ,2
yassadāni,2
kālaṃ,2
maññasī’’ti,2
ahu,2
paccatthikānaṃ,2
bhikkhusaṅghassa,2
mā,2
bhāyi,2
abhikkama,2
eso,2
tuṇhībhūtaṃ,2
yenetarahi,2
bhikkhusaṅgho,2
samannāgato’’ti,2
abhivādetvā,2
kiñcideva,2
desaṃ,2
katthaci,2
paññapetu’’nti,2
pañhaṃ,2
aññe,2
samaṇabrāhmaṇe,2
pucchitā’’ti,2
bhāsassū’’ti,2
kassapa,2
chindato,2
musā,2
cepi,2
pāpassa,2
gaṅgāya,2
tīraṃ,2
puññaṃ,2
puññassa,2
akiriyaṃ,2
gosāla,2
hetu,2
paccayo,2
ahetū,2
apaccayā,2
sukhañca,2
kammāni,2
sandhāvitvā,2
saṃsaritvā,2
dukkhassantaṃ,2
kammaṃ,2
phussa,2
saṃsārasuddhiṃ,2
ajita,2
samaggatā,2
sayaṃ,2
abhiññā,2
sacchikatvā,2
ākāsaṃ,2
honti,2
ucchedaṃ,2
kaccāyana,2
akaṭā,2
akaṭavidhā,2
animmitā,2
animmātā,2
vañjhā,2
kūṭaṭṭhā,2
esikaṭṭhāyiṭṭhitā,2
iñjanti,2
vipariṇamanti,2
aññamaññaṃ,2
byābādhenti,2
nālaṃ,2
aññamaññassa,2
sukhāya,2
dukkhāya,2
sukhadukkhāya,2
sattannaṃ,2
aññena,2
aggivessana,2
yato,2
cātuyāmasaṃvaraṃ,2
sañcaya,2
pucchasi,2
byākareyyaṃ,2
evantipi,2
tathātipi,2
aññathātipi,2
sohaṃ,2
taññevettha,2
paṭipucchissāmi,2
khameyya,2
tathā,2
byākareyyāsi,2
acchariyaṃ,2
abbhutaṃ,2
gati,2
ahampi,2
pañcahi,2
kāmaguṇehi,2
samappito,2
samaṅgībhūto,2
paricāreti,2
maññe,2
panamhissa,2
vatassāhaṃ,2
puññāni,2
kareyyaṃ,2
pabbajeyya,2
paviveke,2
evamāroceyyuṃ,2
yagghe,2
jāneyyāsi,2
api,2
vadeyyāsi,2
etu,2
punadeva,2
hetaṃ,2
mayameva,2
abhivādeyyāmapi,2
paccuṭṭheyyāmapi,2
āsanenapi,2
nimanteyyāma,2
abhinimanteyyāmapi,2
cīvarapiṇḍapātasenāsanagilānappaccayabhesajjaparikkhārehi,2
dhammikampissa,2
rakkhāvaraṇaguttiṃ,2
saṃvidaheyyāmā’’ti,2
yadi,2
addhā,2
sāmaññaphala’’nti,2
mayā,2
paṭhamaṃ,2
paññatta’’nti,2
aññampi,2
cūḷasīlaṃ,2
sabbapāṇabhūtahitānukampī,2
virato,2
akkhātā,2
bhedāya,2
bījagāmabhūtagāmasamārambhā,2
uccāsayanamahāsayanā,2
dūteyyapahiṇagamanānuyogā,2
majjhimasīlaṃ,2
pallaṅkaṃ,2
nhāpanaṃ,2
añjanaṃ,2
itthikathaṃ,2
paṭipanno,2
tvamasi,2
pure,2
vacanīyaṃ,2
pacchā,2
avaca,2
mahāsīlaṃ,2
upayānaṃ,2
apayānaṃ,2
imassa,2
candaggāho,2
sūriyaggāho,2
nakkhattaggāho,2
ukkāpāto,2
disāḍāho,2
bhūmicālo,2
devadudrabhi,2
candimasūriyanakkhattānaṃ,2
uggamanaṃ,2
ogamanaṃ,2
saṃkilesaṃ,2
vodānaṃ,2
ārogyaṃ,2
sīlasaṃvarato,2
sīlakkhandhena,2
nimittaggāhī,2
nānubyañjanaggāhī,2
yatvādhikaraṇamenaṃ,2
cakkhundriyaṃ,2
asaṃvutaṃ,2
viharantaṃ,2
abhijjhā,2
domanassā,2
pāpakā,2
akusalā,2
dhammā,2
anvāssaveyyuṃ,2
saṃvarāya,2
paṭipajjati,2
rakkhati,2
āpajjati,2
manindriyaṃ,2
indriyasaṃvarena,2
kāyaparihārikena,2
cīvarena,2
kucchiparihārikena,2
piṇḍapātena,2
samādāyeva,2
ḍeti,2
sato,2
sampajāno,2
kammante,2
kammantā,2
porāṇāni,2
iṇamūlāni,2
siyā,2
uttariṃ,2
avasiṭṭhaṃ,2
ābādhiko,2
dukkhito,2
bāḷhagilāno,2
ābādhā,2
bhattañca,2
bandhanāgāre,2
baddho,2
bandhanāgārā,2
abbhayena,2
bhogānaṃ,2
anattādhīno,2
parādhīno,2
dāsabyā,2
attādhīno,2
aparādhīno,2
bhujisso,2
sadhano,2
sabhogo,2
sappaṭibhayaṃ,2
kantāraṃ,2
gāmantaṃ,2
pahīne,2
jāyati,2
pītisukhaṃ,2
paripphosakaṃ,2
upekkhako,2
pahānā,2
pharitvā,2
odātena,2
vatthena,2
ñāṇadassanāya,2
rūpī,2
mātāpettikasambhavo,2
odanakummāsūpacayo,2
dhammo,2
idañca,2
viññāṇaṃ,2
sitaṃ,2
paṭibaddha’nti,2
maṇi,2
veḷuriyo,2
subho,2
jātimā,2
aṭṭhaṃso,2
suparikammakato,2
sabbākārasampanno,2
suttaṃ,2
āvutaṃ,2
nīlaṃ,2
pītaṃ,2
lohitaṃ,2
odātaṃ,2
paṇḍusuttaṃ,2
abhinimmānāya,2
imamhā,2
abhinimmināti,2
rūpiṃ,2
sabbaṅgapaccaṅgiṃ,2
ahīnindriyaṃ,2
muñjamhā,2
pavāheyya,2
muñjo,2
aññā,2
kosiyā,2
kosi,2
karaṇḍā,2
karaṇḍo,2
iddhividhāya,2
iddhividhaṃ,2
paccanubhoti,2
ekopi,2
bahudhā,2
bahudhāpi,2
eko,2
āvibhāvaṃ,2
tirobhāvaṃ,2
tirokuṭṭaṃ,2
tiropākāraṃ,2
tiropabbataṃ,2
asajjamāno,2
ākāse,2
pathaviyāpi,2
ummujjanimujjaṃ,2
udakepi,2
abhijjamāne,2
ākāsepi,2
pallaṅkena,2
kamati,2
imepi,2
candimasūriye,2
evaṃmahiddhike,2
evaṃmahānubhāve,2
pāṇinā,2
parāmasati,2
parimajjati,2
brahmalokāpi,2
vasaṃ,2
vatteti,2
suparikammakatasmiṃ,2
visuddhāya,2
atikkantamānusikāya,2
ubho,2
sadde,2
dibbe,2
